fila_original,Fecha,Hora,Código venta,Producto,Cantidad,Individual,Total,Nombre Corregido,Categoria Real,Sub Categoria Real,Month,Week Day,Hour,margin_pct,motivo_descarte
14,2026-01-02,03:18:48 PM,F1HNNCLY,PAN,1,16000,16000,,,,Jan,Vie,15,25.387684,Producto faltante
51,2026-01-02,04:34:49 PM,ILARYWGD,PAN,1,16000,16000,,,,Jan,Vie,16,25.387684,Producto faltante
69,2026-01-02,05:55:33 PM,QSFAOOAV,PAN,1,16000,16000,,,,Jan,Vie,17,25.387684,Producto faltante
98,2026-01-02,06:51:12 PM,X6HTV9DB,PAN,1,16000,16000,,,,Jan,Vie,18,25.387684,Producto faltante
385,2026-01-04,04:56:23 PM,K49K2WJ2,PAN,1,13000,13000,,,,Jan,Dom,16,25.387684,Producto faltante
6520,2026-02-14,05:10:11 PM,YAMNAEEC,PAN,1,13000,13000,,,,Feb,Sáb,17,25.387684,Producto faltante
13918,2026-04-17,04:04:58 PM,VI9XF5JW,PAN,1,16000,16000,,,,Apr,Vie,16,25.387684,Producto faltante
